Nom de l'entreprise,E-mail,Téléphone,Description de l'activité (anglais),Secteur majeur BvD,Section NACE Rév. 2
SOL PROGRES,contact@solprogres.fr,+33 1 34 83 10 15,Engaged in the provision of engineering activities and related technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
ELASTOMERES DE BIGORRE,c.padiolleau@elbi.fr,+33 5 62 96 88 70,"Engaged in the manufacture and supply of technical rubber moulding, composite moulding and plastic injection","Produits chimiques, non-métalliques, gomme, plastique",C - Industrie manufacturière
CABINET RACINE,secretariat@cabinetracine.fr,+33 1 69 30 07 50,"Engaged in the provision of professional, scientific and technical services",Autres services,"M - Activités spécialisées, scientifiques et techniques"
EUCLID INGENIERIE,contact@euclid-fr.com,+33 4 73 26 79 60,Engaged in the provision of engineering activities and related technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
PROMOTION DE TECHNIQUES AVANCEES,hydropneu@free.fr,+33 1 60 17 87 50,Engaged in the manufacture and sale of high tech lubricants,"Machines, outillage, fournitures, recyclage",C - Industrie manufacturière
OTONOMY AVIATION,contact@otonomy-aviation.com,,Video surveillance systems manufacturer ; Electronic surveillance video and audio equipment manufacturer ; Electronic surveillance accessories manufacturer [source: Bureau van Dijk],"Machines, outillage, fournitures, recyclage",C - Industrie manufacturière
MIE SOLS RESINES,info@mie.fr,+33 2 41 60 14 12,"Engaged in the application of resin hot or cold, and the preparation of materials by blasting, sanding or planing",Construction,F - Construction
SYNDIC +,contact@syndicplus.fr,+33 1 71 18 32 70,Online property management platform operator ; Property management services [source: Bureau van Dijk],Autres services,L - Activités immobilières
ETABLISSEMENTS LERAY,ets.leray@wanadoo.fr,+33 2 37 36 37 38,"Engaged in the sale, distribution and servicing of printing systems in France",Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
ARCANE CONCEPT,arcane-concept@arcane-concept.com,+33 1 48 85 57 50,"Engaged in the provision of architecture, engineering, technology, and consulting services",Autres services,"M - Activités spécialisées, scientifiques et techniques"
DELTA-OHM,ventefrance@delta-ohm.fr,+33 1 34 18 93 93,"Engaged in the manufacture, distribution, and sale of consumer electronics and telecommunication products","Machines, outillage, fournitures, recyclage",C - Industrie manufacturière
ALINEOS,info@alineos.com,+33 1 64 78 57 65,Engaged in the retail sale and repair of computers and peripheral equipment,Autres services,S - Autres activités de services
INFOTEL,contact@infotel-entreprises.com,+33 3 20 10 13 40,Engaged in the provision of mobile telecommunication services,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
GEO SUD OUEST,castres@geo-sud-ouest.fr,+33 5 63 59 17 60,Engaged in the provision of architectural and technical consultancy services,Autres services,"M - Activités spécialisées, scientifiques et techniques"
AIA ASSOCIES,aia.associes@a-i-a.fr,+33 1 53 68 93 00,Engaged in architectural and engineering activities and related technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
HIRSCHMANN CAR COMMUNICATION,hcc@hirschmann-car.fr,+33 9 52 13 76 41,Marketing and wholesale of electronic and telecommunications equipment and parts,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
SYNACTIF,synactif@synactif.fr,+33 4 79 88 84 84,Engaged in engineering activities and related technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
AUTOGRAF,info@autograf.fr,+33 1 43 70 00 22,"A designer school engaged in providing courses in the areas of graphic design, digital and interactive design, interior design, and video game design","Education, Santé",P - Enseignement
MULTI PROTECTION SECURITE,contact@mps-alarmes.fr,+33 3 81 90 02 90,Engaged in the provision of security systems services principally in France,Autres services,N - Activités de services administratifs et de soutien
DIGITEX,contact@digitex-industrie.fr,+33 2 41 70 24 31,Engaged in the production of technical and decorative products,"Textiles, wearing apparel, leather",C - Industrie manufacturière
A X E,info@a-x-e.com,+33 1 45 11 96 00,Engaged in the manufacture and servicing of security control systems and equipment in France,"Machines, outillage, fournitures, recyclage",C - Industrie manufacturière
AGENCE COMEVENTS,commercial2@comevents.fr,+33 5 55 88 19 92,"Engaged in the design and creation of the Internet, Extranet or Intranet sites",Autres services,"M - Activités spécialisées, scientifiques et techniques"
SOGEO EXPERT,contact@sogeo-expert.com,+33 5 49 37 92 86,"Geotechnical engineering and using applied geology, hydrogeology, soil mechanics as well as other technical study on grounds",Autres services,"M - Activités spécialisées, scientifiques et techniques"
FONTES ARCHITECTURE,secretariat.tech@f-fontes.fr,+33 4 99 13 33 70,Engaged in architectural and engineering activities and related technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
COMM'BACK,commercial@comm-back.fr,+33 1 75 60 55 00,IT database services [source: Bureau van Dijk],Autres services,"M - Activités spécialisées, scientifiques et techniques"
SA BUREAU D'ETUDES BRIERE,briere@briere.fr,+33 4 50 51 35 41,Engaged in the provision of engineering and technical consultancy services,Autres services,"M - Activités spécialisées, scientifiques et techniques"
PROBANCE,emmanuel.duhesme@probance.com,+33 1 45 06 68 15,Business solutions software developer [source: Bureau van Dijk],Autres services,"M - Activités spécialisées, scientifiques et techniques"
GENERALE EUROPEENNE DE FOURNITURES INDUSTRIELLES,administratif@vide-surpression.com,+33 3 85 34 93 00,"Engaged in the design, manufacture and distribution of vacuum systems in France",Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
METAL CONTROL,contact@metalcontrol.fr,+33 1 64 36 68 23,"Engaged in technical analyses, testing and inspections",Autres services,"M - Activités spécialisées, scientifiques et techniques"
SARL STEPHANE DERENONCOURT VIGNERONS CONSULTANTS,contact@derenoncourtconsultants.com,+33 5 57 24 60 29,"Engaged in the provision of architecture, engineering, technology, and consulting services",Autres services,"M - Activités spécialisées, scientifiques et techniques"
GENERIC TRAVAUX HYDRAULIQUES - G T H,ppopelier@gth92.com,+33 1 39 30 42 60,Engaged in the provision of engineering and related technical consultancy services,Autres services,"M - Activités spécialisées, scientifiques et techniques"
TECHNA,societe@techna.fr,+33 2 40 85 41 41,Engaged in producing animal nutrition and farming technology,"Alimentation, boissons, tabac",C - Industrie manufacturière
CITEC,info@citec-opa.fr,+33 4 78 57 39 60,"Engaged in the design, manufacture, installation and maintenance of electronic automation systems","Machines, outillage, fournitures, recyclage",C - Industrie manufacturière
ELECTRICITE GUIDEZ,electricite-guidez@wanadoo.fr,+33 3 20 46 27 64,"Engaged in the installation of electricity, heating, and lighting systems",Construction,F - Construction
MSI COMPUTER,frsupport@msi.com,+33 1 64 76 49 49,"Engaged in the wholesale of computers, computer peripheral equipment and software",Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
OSLO ARCHITECTES,contact@oslo-architectes.fr,+33 3 88 60 16 00,Engaged in architectural and engineering activities and related technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
HEURE ET CONTROLE,hc@heureetcontrole.fr,+33 1 43 14 87 77,Engaged in the design and manufacture of locking systems for windows and portefenetre S and all security systems,Autres services,N - Activités de services administratifs et de soutien
MARKET AUDIT,contact@marketaudit.fr,+33 3 59 56 95 00,"Engaged in marketing research and public opinion polling; Involved in systematically gathering, recording, tabulating and presenting marketing and public opinion data",Autres services,"M - Activités spécialisées, scientifiques et techniques"
PARTIALIS CONSULTING,admin@portagextra.com,+33 4 72 12 04 84,"Engaged as an employment agency providing personnel in various sectors such as services, information technology, training and consulting",Autres services,N - Activités de services administratifs et de soutien
MEMOBOX,contact@memobox.fr,+33 1 42 21 85 00,Telecommunications consultancy services [source: Bureau van Dijk],Autres services,"M - Activités spécialisées, scientifiques et techniques"
SOCIETE PUZZLE CENTRE,info@puzzle-centre.fr,+33 2 54 27 49 54,Advertising services ; Corporate events organisation services ; Graphic and web design services [source: Bureau van Dijk],Autres services,"M - Activités spécialisées, scientifiques et techniques"
ETABLISSEMENTS DUPONCHEL,duponchel.grues@orange.fr,+33 2 97 85 10 16,"Engaged in the troubleshooting, installation, maintenance and rental of all electro-technical equipment including cranes, electric motors, generators, and transformers",Autres services,N - Activités de services administratifs et de soutien
APPLICATION GESTION THERMIQUE CLIMATIQUE,agtc@agtc10.com,+33 3 25 80 06 03,"Engaged in the provision of architecture, engineering, technology, and consulting services",Autres services,"M - Activités spécialisées, scientifiques et techniques"
DOCARET,contact@docaret.com,+33 1 45 80 20 30,Engaged in the provision of engineering and technical consultancy services,Autres services,"M - Activités spécialisées, scientifiques et techniques"
NICOLAS ET FILS,commercial@nicolasetfils.fr,+33 2 35 13 04 99,"Engaged in the retail sale of computers, peripheral units and software in specialised stores",Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
ROBOT SYSTEM,robot.system@robot-system.fr,+33 2 40 68 09 09,Engaged in the manufacture of robotic systems,"Machines, outillage, fournitures, recyclage",C - Industrie manufacturière
MG BUREAUTIQUE INTERNATIONAL,com@mgbureautique.com,+33 5 61 07 07 00,"Engaged in the wholesale of computers, computer peripheral equipment and software",Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
SUBSEA TECH,contact@subsea-tech.com,+33 4 91 51 76 71,"Engaged in the provision of architecture, engineering, technology, and consulting services",Autres services,"M - Activités spécialisées, scientifiques et techniques"
PMP DIFFUSION,pmp@pmpdiffusion.com,+33 1 60 04 20 14,Engaged in the retail sale of a variety of products via mail order houses and the internet,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
CITY SECURITE,info@citysecurite.fr,+33 1 41 50 15 28,Engaged in the provision of safety and security systems services,Autres services,N - Activités de services administratifs et de soutien
PERRAULT PROJETS,dpa@d-p-a.fr,+33 1 44 06 00 00,Engaged in engineering activities and related technical consultancy services,Autres services,"M - Activités spécialisées, scientifiques et techniques"
AIDE ASSITANCE DESSIN INFORMATIQUE ARCHITECTES ASSOCIES,pau@aadi-architectes.com,+33 5 59 33 96 50,Engaged in architectural and engineering activities and related technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
SOC DE BATIMENT ET GENIE CIVIL,sbgc2@wanadoo.fr,+33 3 29 56 45 09,Engaged in utility system construction,Construction,F - Construction
LBI SYSTEMS,contact@lbisystems.com,+33 3 83 32 04 20,Engaged in the wholesale distribution of computer peripheral equipment and software,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
ALTEDIS,contact@altedis.com,+33 1 53 48 11 25,"Engaged in the technical assistance on the IT projects, and management consulting services",Autres services,"M - Activités spécialisées, scientifiques et techniques"
SEMA,lydie.denos@emanut72.com,+33 2 43 24 65 51,Engaged in the design and manufacture of industrial building its metal structure and system of automated handling,"Machines, outillage, fournitures, recyclage",C - Industrie manufacturière
CBK,cbk@cbk.fr,+33 1 34 20 01 37,"Engaged in the design and development of complete systems for air drying for all types of industries, such as: Food laboratories, pharmaceutical, cosmetic, metallurgical, chemical, and power plants and nuclear",Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
ACTIF SP SARL,actifsp@actifsp.fr,+33 1 49 59 36 30,Engaged in the provision of security systems services,Autres services,N - Activités de services administratifs et de soutien
TELEPHERIQUES DES GLACIERS DE LA MEIJE,info@la-grave.com,+33 4 76 79 94 65,Engaged in urban transit systems; Involved in the operation of local and suburban passenger transit systems over regular routes and on regular schedules within a metropolitan area and its adjacent non-urban areas,Transport,H - Transports et entreposage
SODITER,soditer@soditer.fr,+33 4 75 78 47 00,"Engaged in the manufacture, installation, repair, maintenance and handling of all materials for the equipment and installation of computer equipment, office automation, ERP",Autres services,S - Autres activités de services
ENTREPRISE PYRENENNE DE TRANSPORTS PAR ROUTE,eptr.cars@orange.fr,+33 5 61 89 14 01,Engaged in urban transit system,Transport,H - Transports et entreposage
ARTING,contact@arting-france.com,+33 1 41 60 10 10,Engaged in the provision of engineering and technical consultancy services,Autres services,"M - Activités spécialisées, scientifiques et techniques"
FOURS RIOUBLANC,fours.rioublanc@wanadoo.fr,+33 5 59 02 43 06,"Design, assembly and installation of plumbing and ventilation systems",Construction,F - Construction
HIKOB,contact@hikob.com,+33 4 72 84 22 56,Wireless detection sensors and devices manufacturer ; Wireless data management software developer [source: Bureau van Dijk],Autres services,"M - Activités spécialisées, scientifiques et techniques"
BUREAU ETUDES AMENAGEMENT URBAIN ET RURAL,contact@beaur.fr,+33 4 75 72 42 00,Engaged in the provision of engineering activities and related technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
GROUPE INFODIS,infodis@infodis.com,+33 1 49 38 90 90,"Information technology consultancy services ; Web design services ; Online cloud based project management, virtualisation, data storage services provider [source: Bureau van Dijk]",Autres services,K - Activités financières et d'assurance
GESTION ET TECHNIQUE GESTEC,info@gestec2000.com,+33 1 64 43 61 00,Primarily engaged in the wholesale trade of computers and computer peripheral equipment and software,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
FREECOM,contact@freecom-services.com,+33 3 25 71 87 50,Communication appliances software developer ; Communication appliances installation and maintenance services [source: Bureau van Dijk],Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
FINELOG,contact@finelog.fr,+33 1 41 10 00 40,Informatic technology and engineering consulting services [source: Bureau van Dijk],Autres services,"M - Activités spécialisées, scientifiques et techniques"
PRATI CUISINE,prati.cuisine@wanadoo.fr,+33 2 41 65 33 99,"Engaged in the creation, design, technical, manufacturing and installation of kitchen, living room, and bathroom furnitures and fixtures, as well as the provision of interior design",Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
AIRCAR,aircar@transdev.fr,+33 1 34 29 43 90,Engaged in the operation of urban transit systems,Transport,H - Transports et entreposage
SOCIETE DE DIFFUSION DE LUMINAIRES,contact@luzeva.fr,+33 4 78 81 90 95,"Engaged in the design, manufacture, and supply of professional lighting equipment for industrial and commercial applications","Machines, outillage, fournitures, recyclage",C - Industrie manufacturière
LYON GRAPHIQUE,ccontact@lyongraphique.fr,+33 4 78 94 95 01,Engaged in the wholesale distribution of computers and computer peripherals,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
SIXAXES,sixaxes.sa@sixaxes.fr,+33 1 34 11 71 71,Engaged in the development and manufacture of force measuring systems,Autres services,"M - Activités spécialisées, scientifiques et techniques"
KALI'AIR,contact@kaliair.fr,+33 3 20 04 12 12,Engaged in the provision of engineering and technical consultancy services,Autres services,"M - Activités spécialisées, scientifiques et techniques"
FACTUM GROUP,factum@factum-finance.com,+33 3 83 90 90 90,Operates as a holding company whose subsidiaries are engaged in the financing and leasing of computer equipment,Autres services,K - Activités financières et d'assurance
SIH SERVICES,katia.schlich@sih.fr,+33 3 87 97 75 51,Air conditioning systems installation and maintenance services [source: Bureau van Dijk],Construction,F - Construction
FO SEC PREVENTION,donges@fosec-pibplus.com,+33 2 40 91 05 05,Engaged in engineering activities and related technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
VOL-V,info.solar@vol-v.com,+33 4 11 95 00 30,Engaged in engineering activities and related technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
RHEA,contact@rhea-electronique.fr,+33 3 20 17 69 69,Radio equipment manufacturer ; IT systems integration services [source: Bureau van Dijk],Autres services,"M - Activités spécialisées, scientifiques et techniques"
BOUJEAT BERNARD SOC,boujeat@wanadoo.fr,+33 3 86 33 61 44,"Engaged in the activities of a site preparation contractor; Involved in site preparation activities, such as excavating and grading, demolition of buildings and other structures, and septic system installation",Construction,F - Construction
MICROMEGA,qualite@micromega.fr,+33 4 42 65 43 43,"Engaged in the repair and maintenance of electronic and precision equipment; Involved in repairing electronic equipment, such as computers and communications equipment, and highly specialized precision instruments","Machines, outillage, fournitures, recyclage",C - Industrie manufacturière
TINTILLIER FILS,tintilier@orange.fr,+33 3 28 48 88 12,"Engaged in the wholesale distribution of a wide range of articles on plumbing systems, heating, irrigation and electrical",Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
L'ESPACE INFORMATIQUE,hpc@lespace.fr,+33 1 64 03 10 17,"Engaged in the wholesale of computers, computer peripheral equipment and software",Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
FRANCE PRODUCTION ELECTRONIQUE,gdeneuville@fpe-multimedia.com,+33 1 30 11 24 44,Engaged in the wholesale distribution of computer peripheral equipment,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
KROWN,krown@krown.fr,+33 1 49 48 79 09,"Primarily engaged in the wholesale trade of computers, computer hardware and software as well as computer parts",Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
GLOBAL INTERNET SOLUTIONS NETWORK,relation.client@globalinternetsolutions.com,+33 3 87 21 86 46,Engaged in the retail sale of products through mail order houses or via Internet in France,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
DISFATEL,info@disfatel.fr,+33 1 39 22 07 50,"Engaged in the development, production and marketing of electronic gas detection systems","Machines, outillage, fournitures, recyclage",C - Industrie manufacturière
ITM INSTALLATIONS TELEPHONIQUES MODERNES,contact@itm-ict.com,+33 1 43 14 77 77,Telecommunications equipment installation services [source: Bureau van Dijk],"Machines, outillage, fournitures, recyclage",C - Industrie manufacturière
COFREPECHE,info@cofrepeche.fr,+33 1 42 68 17 10,Engaged in the provision of engineering and technical consultancy services,Autres services,"M - Activités spécialisées, scientifiques et techniques"
BUHOT ETUDES CONSEIL INGENIERIE PICARDIE,becip@becip.fr,+33 3 44 10 00 35,Procurement of engineering activities and related technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
RNI,contact@rni-france.fr,+33 3 20 34 08 71,"Engaged in the provision of architecture, engineering, technology, and consulting services",Autres services,"M - Activités spécialisées, scientifiques et techniques"
LORI,conso@lori.fr,+33 2 97 89 02 02,"Engaged in the wholesale distribution of computer consumables, drawing supplies, school and office supplies, computer, office equipment and furniture",Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
ARGEO,olivier.martin@argeo.fr,+33 4 66 01 97 88,Engaged in the provision of engineering activities and related technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
CAPSIM INGENIERIE DE LA SIMULATION,info@capsimulation.com,+33 4 42 63 61 18,Operates as an independent design office working alongside project owners and contractors on electrical technology and multiphysics systems; Operates as the specialist partner on the behaviour of electrical networks and electrotechnical systems,Autres services,"M - Activités spécialisées, scientifiques et techniques"
GOLDEN EYES,accueil2@golden-eyes.com,+33 3 59 57 70 07,CRM solutions and business intelligence services provider ; Digital and multi-channel marketing services provider [source: Bureau van Dijk],Autres services,N - Activités de services administratifs et de soutien
ETS PLANCHOT,planchot@wanadoo.fr,+33 2 51 92 00 22,Engaged in controlling and providing supervisory measures as well as offers technical and scientific management holding services to its operating companies and enterprises and local units,Autres services,K - Activités financières et d'assurance
BEMOBEE SOLUTIONS,contact@bemobee.com,+33 1 46 21 60 84,Mobile application developer [source: Bureau van Dijk],Autres services,"M - Activités spécialisées, scientifiques et techniques"
TELEMATIQUE SERVICE,henri.simon@telematiqueservice.fr,+33 3 81 46 85 48,Engaged in the sale and distribution of computers and its peripheral equipment in France,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
PROJECTION PLASMA SYSTEME,2ps@2ps.fr,+33 5 65 63 71 52,Plasma technology surface coating services [source: Bureau van Dijk],Métaux & Produits métalliques,C - Industrie manufacturière
AT@ PARTNERS,info@atpartners.fr,+33 1 47 86 07 58,Engaged in the sale of equipment and high-tech solutions for the digital processing of color and black and white documents,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
ARVERNE TELECOMMUNICATIONS ARTEL,artel@artel.fr,+33 4 73 89 48 79,Engaged in the provision of information technology (IT) and managed network services,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
DDM CREATION,info@ddm-sa.com,+33 2 99 47 39 82,Engaged in the wholesale of telecommunications equipment,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
PARINOR,administratif@parinor.fr,+33 1 47 64 35 00,"Engaged in the wholesale distribution of electronic parts and equipment, specializing in telecommunication equipment",Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
ETABLISSEMENTS COMBE,direction.combe@wanadoo.fr,+33 4 75 70 21 49,"Engaged in the distribution and installation of pumps, irrigation systems, and water supply blowers",Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
STUDIEL ILE DE FRANCE,studiel@studiel.fr,+33 4 92 02 45 45,Engaged in engineering activities and related technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
SAS GALAXAIR,galaxair@galaxair.com,+33 9 69 80 16 44,"Engaged in the studies, construction, installation and sale of pumping system, conditioning, recovery and liquefaction, transfer, storage and sale of fluids",Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
DATA AUTOMATION FRANCE,contact@daf-informatique.com,+33 4 77 75 91 50,Engaged in the wholesale distribution of computer peripheral equipment,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
GROUPE MARIE CLAIRE,acmc@gmc.tm.fr,+33 1 41 46 88 88,Engaged in publishing activities with more than 88 editions and about fifty of Internet sites in the world,Autres services,"M - Activités spécialisées, scientifiques et techniques"
MAITRISE TECHNOLOGIQUE,mt@maitrise-technologique.com,+33 4 94 59 77 63,"Engaged in the design, supply, installation and maintenance of industrial electronic and IT systems devoted to roads and motorways emergency calls","Machines, outillage, fournitures, recyclage",C - Industrie manufacturière
MEDITERRANEE BUREAUTIQUE,accueil@m-bureautique.com,+33 4 42 32 70 10,"Engaged in the wholesale distribution of hardware, and plumbing and heating equipment and supplies, such as sanitary equipment, heating systems and kitchen products",Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
FAST HEAT INTERNATIONAL,fastheat@fastheat.fr,+33 4 77 49 36 46,Engaged in the development and manufacture of temperature control systems in France,Métaux & Produits métalliques,C - Industrie manufacturière
ART GRAPHIQUE ET PATRIMOINE,artgp@artgp.fr,+33 1 55 12 30 13,"Engaged in providing photogrammetric survey or manual on all architectural buildings and all studies on the restoration of monuments, sale of computer equipment and training",Autres services,"M - Activités spécialisées, scientifiques et techniques"
DAFIL,filtres@dafil.fr,+33 1 42 83 38 33,"Engaged in the production and distribution of air conditioning, heating, and refrigeration systems","Machines, outillage, fournitures, recyclage",C - Industrie manufacturière
SOMATH SOCIETE DE MAINTENANCE ET D'APPLICATIONS THERMIQUES,somath@wanadoo.fr,+33 1 30 50 29 00,"Assembly and installation of heating, ventilation and air conditioning systems",Construction,F - Construction
CREASENSO,hello@creasenso.com,+33 1 48 00 12 12,Operates as a creative and digital talent agency; Connect the most talented freelancers with the most creative agencies,Autres services,"M - Activités spécialisées, scientifiques et techniques"
DSTPE,dstpe@hotmail.com,+33 5 56 05 15 45,"Operates as a site preparation contractor; Involved in site preparation activities, such as excavating and grading, demolition of buildings and other structures, and septic system installation",Construction,F - Construction
ALTITUDE,contact@altitude.fr,+33 2 32 80 87 55,"Engaged in the provision of computer programming, data processing, and other computer related services, specializing in computer systems design services and data base activities",Autres services,K - Activités financières et d'assurance
ICAR - TECHNIQUES ET RECHERCHES MATERIAUX REFRACTAIRES,info.icar@ceramique.fr,+33 3 83 76 39 39,"Engaged in the operation of testing laboratories; Involved in performing physical, chemical and other analytical testing services, such as acoustics and vibration testing, assaying, biological testing, calibration testing, electrical and electronic testing, geotechnical testing, mechanical testing, non-destructive testing and thermal testing",Autres services,"M - Activités spécialisées, scientifiques et techniques"
SA STEM TRAVAUX ET DISTRIBUTION,stemeyreuil@aol.com,+33 4 42 58 31 79,"Engaged in the production and sale of trucks and commercial vehicles, and engines and transmissions for industrial and marine applications",Métaux & Produits métalliques,C - Industrie manufacturière
HIGH DESIGN TECHNOLOGY - HD TECHNOLOGY,contact@hdtechnology.com,+33 4 72 14 68 90,Engaged in the provision of engineering and technical consultancy services,Autres services,"M - Activités spécialisées, scientifiques et techniques"
ALOE PRIVATE EQUITY,aloe@aloe-group.com,+33 1 47 20 48 20,Engaged in the management of funds which invest in the environmental technology sector,Autres services,K - Activités financières et d'assurance
IDRESEAU,contact@idreseau.com,+33 6 75 55 38 51,Engaged in the wholesale trade and marketing of telecommunications and computer networks products and solutions,Commerce de gros & Commerce de détail,G - Commerce; réparation d'automobiles et de motocycles
INGENIERIE SECOND OEUVRE CONCEPTION RENOVATION AMENAGEMENTS TECHNIQUES ISOCRATE,secretariat@isocrate.com,,Engaged in engineering activities and related technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
DYNEL,steg.technology@wanadoo.fr,+33 1 39 81 82 00,"Engaged in marketing research and public opinion polling; Involved in systematically gathering, recording, tabulating and presenting marketing and public opinion data",Autres services,"M - Activités spécialisées, scientifiques et techniques"
COPY 95,soa@procopy.fr,+33 1 30 30 57 57,Engaged in the provision of photocopying and digital printing services,Autres services,N - Activités de services administratifs et de soutien
COGISYS,cogisys@cogisys.com,+33 4 90 09 26 40,A research and consultancy firm specializing in information and telecommunications systems,Autres services,"M - Activités spécialisées, scientifiques et techniques"
SILAT,silat@silat.fr,+33 1 30 86 44 00,"Engaged in the installation, delivery, technical support and maintenance of IT and telecommunication systems",Autres services,N - Activités de services administratifs et de soutien
L'ASTRONEF,contact@lastronef.fr,+33 5 34 31 37 80,Public relations services ; Company website design services ; Brand creative design services ; Brand marketing services [source: Bureau van Dijk],Autres services,"M - Activités spécialisées, scientifiques et techniques"
CENA INGENIERIE,info@cena-ingenierie.fr,+33 4 79 75 00 43,Engaged in the provision of engineering and technical consultancy services,Autres services,"M - Activités spécialisées, scientifiques et techniques"
I.P.C.S.,ipcsbet@orange.fr,+33 1 47 07 06 05,Engaged in engineering activities and related technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
EDMR ENGINEERING,contact@edmr.fr,+33 4 78 46 00 09,"Engaged in the provision of architecture, engineering, technology, and consulting services",Autres services,"M - Activités spécialisées, scientifiques et techniques"
SARL GERON,voyages.geron16@wanadoo.fr,,Engaged in urban transit systems; Involved in the operation of local and suburban passenger transit systems over regular routes and on regular schedules within a metropolitan area and its adjacent non-urban areas,Transport,H - Transports et entreposage
AZIMUT MONITORING,info@azimut-monitoring.com,+33 9 79 38 76 84,Air monitoring devices manufacturer ; Air monitoring software developer [source: Bureau van Dijk],"Machines, outillage, fournitures, recyclage",C - Industrie manufacturière
CABINET BOTTURI LOUDES,c2l@c2l-net.com,+33 1 42 85 02 14,"Engaged in the provision of architecture, engineering, technology, and consulting services",Autres services,"M - Activités spécialisées, scientifiques et techniques"
BLAQ,contact@blaq.fr,+33 3 20 21 99 70,Engaged in the engineering activities and related technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
SARL ELITE SEALS,info@elite-seals.com,+33 4 74 99 03 27,"Engaged in the manufacturing, trade, storage, distribution of seals and sealing systems for industrial applications","Produits chimiques, non-métalliques, gomme, plastique",C - Industrie manufacturière
EDGEFLEX,contact@edgeflex.fr,+33 4 67 52 74 22,Engaged in the provision of computer programming services,"Machines, outillage, fournitures, recyclage",C - Industrie manufacturière
CYTOO,info@cytoo.com,+33 4 38 88 47 05,Cell analysis technology developer [source: Bureau van Dijk],Autres services,"M - Activités spécialisées, scientifiques et techniques"
SOCIETE DE REVISION D'ORGANISATION DE GESTION D'EXPERTISE COMPTABLE ET DE COMMISSARIAT AUX COMPTES,sorogec@sorogec.com,+33 2 41 22 06 07,"Engaged in the provision of accounting, tax, social councils, legal advice, Information Technology (IT) consultancy, and auditing services",Autres services,"M - Activités spécialisées, scientifiques et techniques"
M C,mckuzu.bet.structure@wanadoo.fr,,Engaged in engineering activities and related technical consultancy,Autres services,"M - Activités spécialisées, scientifiques et techniques"
VOYAGES BESSON,voyages.besson@wanadoo.fr,+33 2 41 49 07 49,Engaged in the operation of urban transit systems,Transport,H - Transports et entreposage
